x_value,total_1,total_2
0,1000,1000
1,996,1003
2,1002,1004
3,1000,1003
4,1003,1002
5,1007,1005
6,1013,1007
7,1007,1013
8,1008,1014
9,1010,1019
10,1012,1016
11,1010,1012
12,1009,1015
13,1016,1010
14,1024,1016
15,1018,1014
16,1014,1013
17,1015,1018
18,1021,1024
19,1017,1021
20,1014,1022
21,1009,1028
22,1005,1031
23,1003,1034
24,1007,1030
25,1015,1035
26,1018,1031
27,1012,1027
28,1017,1027
29,1022,1025
30,1023,1021
31,1023,1024
32,1020,1027
33,1021,1029
34,1027,1033
35,1023,1037
36,1018,1038
37,1017,1043
38,1023,1043
39,1018,1038
40,1012,1037
41,1010,1035
42,1013,1037
43,1021,1038
44,1029,1042
45,1031,1038
46,1032,1039
47,1031,1035
48,1028,1030
49,1025,1026
50,1033,1025
51,1029,1024
52,1032,1027
53,1037,1027
54,1041,1026
55,1046,1024
56,1049,1021
57,1056,1018
58,1061,1020
59,1068,1023
60,1064,1020
61,1070,1023
62,1077,1018
63,1084,1013
64,1083,1019
65,1087,1020
66,1086,1024
67,1084,1024
68,1083,1021
69,1077,1019
70,1078,1015
71,1084,1015
72,1091,1014
73,1093,1015
74,1088,1018
75,1096,1019
76,1103,1020
77,1100,1018
78,1096,1016
79,1097,1014
80,1095,1012
81,1093,1014
82,1093,1019
83,1092,1017
84,1090,1017
85,1084,1014
86,1079,1017
87,1075,1023
88,1083,1021
89,1080,1021
90,1082,1025
91,1078,1023
92,1081,1025
93,1088,1028
94,1091,1023
95,1089,1024
96,1095,1030
97,1095,1028
98,1102,1024
99,1107,1029
100,1104,1030
101,1099,1025
102,1095,1021
103,1102,1022
104,1108,1021
105,1104,1017
106,1110,1015
107,1111,1020
108,1119,1019
109,1127,1020
110,1135,1024
111,1143,1023
112,1139,1018
113,1147,1020
114,1153,1019
115,1152,1019
116,1157,1020
117,1161,1025
118,1165,1020
119,1167,1025
120,1169,1022
121,1166,1026
122,1173,1022
123,1176,1020
124,1184,1019
125,1187,1024
126,1189,1030
127,1184,1030
128,1189,1025
129,1194,1024
130,1197,1025
131,1195,1026
132,1189,1026
133,1195,1029
134,1203,1024
135,1210,1023
136,1208,1025
137,1202,1020
138,1207,1021
139,1214,1022
140,1219,1024
141,1217,1022
142,1223,1022
143,1225,1028
144,1221,1027
145,1216,1028
146,1211,1029
147,1209,1032
148,1214,1032
149,1218,1033
150,1216,1030
151,1215,1027
152,1210,1027
153,1205,1032
154,1204,1027
155,1208,1028
156,1210,1026
157,1213,1027
158,1218,1027
159,1218,1031
160,1223,1035
161,1217,1035
162,1225,1037
163,1232,1039
164,1240,1034
165,1238,1029
166,1246,1030
167,1245,1025
168,1251,1020
169,1256,1016
170,1251,1018
171,1256,1013
172,1262,1012
173,1266,1010
174,1260,1013
175,1266,1012
176,1264,1015
177,1261,1020
178,1255,1023
179,1257,1018
180,1262,1016
181,1265,1015
182,1261,1018
183,1257,1019
184,1265,1025
185,1268,1025
186,1267,1020
187,1275,1018
188,1272,1020
189,1268,1016
190,1270,1014
191,1273,1010
192,1279,1007
193,1280,1002
194,1275,998
195,1280,1004
196,1283,1000
197,1285,1001
198,1292,998
199,1298,999
200,1292,1000
201,1294,997
202,1300,992
203,1308,991
204,1308,987
205,1315,983
206,1311,982
207,1310,981
208,1308,979
209,1302,984
210,1303,984
211,1301,981
212,1301,986
213,1308,983
214,1309,988
215,1304,994
216,1298,998
217,1301,999
218,1304,997
219,1311,1000
220,1319,1005
221,1319,1011
222,1321,1008
223,1315,1011
224,1322,1012
225,1317,1007
226,1323,1008
227,1319,1009
228,1315,1007
229,1309,1005
230,1303,1004
231,1303,999
232,1307,996
233,1314,999
234,1312,1005
235,1315,1011
236,1317,1006
237,1319,1003
238,1315,1009
239,1320,1015
240,1324,1014
241,1322,1011
242,1320,1009
243,1327,1013
244,1322,1014
245,1324,1016
246,1320,1016
247,1317,1016
248,1316,1013
249,1311,1010
250,1310,1006
251,1314,1006
252,1309,1005
253,1306,1010
254,1312,1009
255,1317,1005
256,1314,1005
257,1322,1009
258,1326,1013
259,1329,1013
260,1334,1013
261,1328,1013
262,1322,1015
263,1323,1018
264,1327,1013
265,1335,1019
266,1334,1018
267,1333,1023
268,1328,1024
269,1325,1020
270,1329,1022
271,1337,1028
272,1337,1034
273,1334,1034
274,1330,1038
275,1326,1035
276,1327,1033
277,1333,1039
278,1332,1041
279,1327,1037
280,1323,1032
281,1327,1035
282,1325,1035
283,1329,1036
284,1334,1042
